species,fish_id,mass_g,po2_torr,mo2_ms_per_hr,expt_period
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,80.3439,2.0385542168674697,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,76.608,2.125301204819277,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,72.575,2.2987951807228915,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,68.4599,2.342168674698795,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,63.604,2.9493975903614453,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,58.5966,2.472289156626506,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,54.1766,2.4289156626506023,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,50.1451,2.125301204819277,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,46.48,1.9518072289156625,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,42.9367,2.0385542168674697,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,39.3086,2.0385542168674697,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,35.4676,1.9518072289156625,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,32.0102,1.908433734939759,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,28.8077,1.7783132530120482,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,25.7424,1.6481927710843371,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,22.9263,1.4746987951807227,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,20.4355,1.3012048192771084,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,18.1584,1.1710843373493975,pcrit
Blepsias_cirrhosus,top-inbottom_tank7_closed-orange-floats,8.3,16.388,1.0843373493975903,pcrit
Clinocottus_globiceps,top-bottom,43.3,141.4394,1.9704387990762124,pcrit
Clinocottus_globiceps,top-bottom,43.3,131.6806,2.0120092378752887,pcrit
Clinocottus_globiceps,top-bottom,43.3,118.9164,2.527482678983834,pcrit
Clinocottus_globiceps,top-bottom,43.3,107.4552,2.178290993071594,pcrit
Clinocottus_globiceps,top-bottom,43.3,95.8204,1.9953810623556585,pcrit
Clinocottus_globiceps,top-bottom,43.3,86.3811,1.7376443418013856,pcrit
Clinocottus_globiceps,top-bottom,43.3,75.9954,2.1284064665127023,pcrit
Clinocottus_globiceps,top-bottom,43.3,66.9484,1.6877598152424942,pcrit
Clinocottus_globiceps,top-bottom,43.3,55.7302,2.710392609699769,pcrit
Clinocottus_globiceps,top-bottom,43.3,42.7065,1.6212471131639725,pcrit
Clinocottus_globiceps,top-bottom,43.3,36.8595,1.5963048498845265,pcrit
Clinocottus_globiceps,top-bottom,43.3,28.1953,1.787528868360277,pcrit
Clinocottus_globiceps,top-bottom,43.3,21.1288,0.7981524249422632,pcrit
Clinocottus_globiceps,top-bottom,43.3,16.6847,0.25773672055427255,pcrit
Clinocottus_globiceps,top-bottom,43.3,14.7329,0.956120092378753,pcrit
Clinocottus_globiceps,top-bottom,43.3,13.9337,1.0226327944572748,pcrit
Clinocottus_globiceps,middle,43.6,148.244,1.568807339449541,pcrit
Clinocottus_globiceps,middle,43.6,140.3119,1.5440366972477066,pcrit
Clinocottus_globiceps,middle,43.6,132.0297,1.5522935779816516,pcrit
Clinocottus_globiceps,middle,43.6,123.9264,1.5522935779816516,pcrit
Clinocottus_globiceps,middle,43.6,116.0006,1.5357798165137613,pcrit
Clinocottus_globiceps,middle,43.6,108.0295,1.4944954128440369,pcrit
Clinocottus_globiceps,middle,43.6,99.9492,1.5605504587155965,pcrit
Clinocottus_globiceps,middle,43.6,91.8073,1.4862385321100917,pcrit
Clinocottus_globiceps,middle,43.6,83.6367,1.5522935779816516,pcrit
Clinocottus_globiceps,middle,43.6,75.4781,1.5357798165137613,pcrit
Clinocottus_globiceps,middle,43.6,67.8093,1.5110091743119265,pcrit
Clinocottus_globiceps,middle,43.6,59.4504,1.5027522935779818,pcrit
Clinocottus_globiceps,middle,43.6,51.6527,1.444954128440367,pcrit
Clinocottus_globiceps,middle,43.6,43.485,1.618348623853211,pcrit
Clinocottus_globiceps,middle,43.6,35.2114,1.618348623853211,pcrit
Clinocottus_globiceps,middle,43.6,27.2419,1.420183486238532,pcrit
Clinocottus_globiceps,middle,43.6,20.4233,1.2055045871559633,pcrit
Clinocottus_globiceps,middle,43.6,14.9049,0.9082568807339448,pcrit
Clinocottus_globiceps,middle,43.6,10.8563,0.6770642201834863,pcrit
Clinocottus_globiceps,middle,43.6,7.9038,0.4376146788990826,pcrit
Clinocottus_globiceps,middle,43.6,5.9993,0.3055045871559633,pcrit
Clinocottus_globiceps,middle,43.6,4.9524,0.18990825688073393,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,144.8544,1.6615384615384616,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,137.7869,1.778698224852071,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,130.8036,1.7680473372781067,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,123.567,2.0556213017751483,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,115.7164,1.8106508875739646,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,108.6225,1.778698224852071,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,101.35,1.7680473372781067,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,94.5587,1.7254437869822488,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,87.6628,1.746745562130178,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,81.2414,1.5230769230769232,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,75.4622,1.5124260355029588,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,68.2189,1.8213017751479292,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,61.5273,1.5656804733727812,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,55.2267,1.672189349112426,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,48.8247,1.5017751479289942,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,42.4596,1.672189349112426,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,35.5321,1.8639053254437874,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,28.8331,1.4698224852071007,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,23.199,1.4378698224852073,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,17.1087,1.5443786982248522,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,11.835,1.1822485207100593,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,7.9676,0.8201183431952664,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,5.0232,0.7349112426035503,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,2.6116,0.6284023668639054,pcrit
Clinocottus_globiceps,intop-inbottom,33.8,0.6989,0.42603550295857995,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,152.4281,2.3478260869565215,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,148.2156,2.034782608695652,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,144.8283,1.7739130434782606,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,141.664,1.826086956521739,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,138.2448,2.243478260869565,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,134.943,1.565217391304348,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,131.5906,2.0869565217391304,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,127.8945,1.9304347826086956,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,124.6202,1.565217391304348,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,121.8272,1.565217391304348,pcrit
Oligocottus_maculosus,top-inbottom_tank10_bucket,6.9,118.5098,2.243478260869565,pcrit
