date,spps,common_name,salinity_ppt,temperature_C,do_percent_sat,alpha_Boutilier,probe_kit,respirometer,respirometer_vol_mL,finclip_tank_id,mass_g,baro_pressure_kPa,measurement_period,timepoint_measurement_minutes,corr_percent_sat_DO,po2_torr,umol_O2_per_sec,selection_time_start,selection_time_end,selection_duration_seconds,comments
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,730.1053,96.0542,152.7487,-0.0027,04:00.0,09:15.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,740.9061,96.8986,154.0915,-0.0022,14:45.0,20:00.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,751.9605,95.7635,152.2866,-0.0025,25:45.0,31:00.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,763.0144,96.2772,153.1034,-0.0029,36:45.0,42:00.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,774.1929,96.3971,153.2941,-0.0028,48:00.0,53:00.0,315,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,785.246,96.6416,153.6829,-0.0026,59:00.0,04:00.0,315,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,796.0514,96.2712,153.0939,-0.0025,09:30.0,15:00.0,345,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,806.9798,96.3809,153.2683,-0.0031,20:15.0,26:00.0,360,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,817.6566,96.8496,154.0137,-0.0029,31:00.0,36:30.0,345,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,828.7087,96.9609,154.1907,-0.0026,42:00.0,47:30.0,345,
